demand_mw,solar_mw,gas_mw,load_shedding_mw,solar_cf,timestamp,month,day,hour,date,period,served_by_solar_gas_mw,unserved_share_of_demand
26532.488444,-0.0,15873.654411947797,10658.834032052202,0.0,2025-09-04 05:00:00,9,4,5,2025-09-04,night_00_05,15873.654411947797,0.40172764249191895
27992.4168509999,8523.595511003545,15873.654411947797,3595.1669280485585,0.0105525451275355,2025-09-04 06:00:00,9,4,6,2025-09-04,morning_06_09,24397.24992295134,0.12843360211392885
38293.221093,2852.604775032904,15873.654411947797,19566.961906019296,0.0035316364532664,2025-09-04 19:00:00,9,4,19,2025-09-04,evening_peak_16_20,18726.2591869807,0.5109771742235635
37076.332308,-0.0,15873.654411947797,21202.6778960522,0.0,2025-09-04 20:00:00,9,4,20,2025-09-04,evening_peak_16_20,15873.654411947797,0.5718655696555314
35384.0814669999,-0.0,15873.654411947797,19510.427055052103,0.0,2025-09-04 21:00:00,9,4,21,2025-09-04,late_evening_21_23,15873.654411947797,0.5513899540743491
32874.266264,-0.0,15873.654411947797,17000.6118520522,0.0,2025-09-04 22:00:00,9,4,22,2025-09-04,late_evening_21_23,15873.654411947797,0.517140419668294
30696.2793059999,-0.0,15873.654411947797,14822.624894052102,0.0,2025-09-04 23:00:00,9,4,23,2025-09-04,late_evening_21_23,15873.654411947797,0.48288018056816645
28825.800531,-0.0,15873.654411947797,12952.146119052204,0.0,2025-09-05 00:00:00,9,5,0,2025-09-05,night_00_05,15873.654411947797,0.44932476741185856
27287.615499,-0.0,15873.654411947797,11413.961087052203,0.0,2025-09-05 01:00:00,9,5,1,2025-09-05,night_00_05,15873.654411947797,0.41828356484539614
26506.354622,87.10243587882412,15873.654411947797,10545.597774173379,0.0001078362275806,2025-09-05 02:00:00,9,5,2,2025-09-05,night_00_05,15960.75684782662,0.3978516821555176
25437.096859,-0.0,15873.654411947797,9563.442447052204,0.0,2025-09-05 03:00:00,9,5,3,2025-09-05,night_00_05,15873.654411947797,0.3759643838313461
24981.095305,62.21602562776367,15873.654411947797,9045.224867424438,7.702587684332552e-05,2025-09-05 04:00:00,9,5,4,2025-09-05,night_00_05,15935.87043757556,0.3620827972908788
25672.2361519999,-0.0,15873.654411947797,9798.581740052103,0.0,2025-09-05 05:00:00,9,5,5,2025-09-05,night_00_05,15873.654411947797,0.3816801030512794
27201.521323,9052.431728839563,15873.654411947797,2275.435182212641,0.0112072650807038,2025-09-05 06:00:00,9,5,6,2025-09-05,morning_06_09,24926.08614078736,0.0836510265434554
35483.12334,2889.934390409566,15873.654411947797,16719.534537642634,0.0035778519793724,2025-09-05 19:00:00,9,5,19,2025-09-05,evening_peak_16_20,18763.588802357364,0.4711968103099527
